UniprotID	GeneID	TranscriptID	ProteinID	Symbol	Strand	Chrom	UniprotEntryName	Length	logit_s_mean	logit_s_sd	s_mean	s_lower	s_upper	s_median
Q99518	ENSG00000094963	ENST00000209929	ENSP00000209929	FMO2	+	1	FMO2_HUMAN	535	-6.373287677764893	1.6562050580978394	0.006652224808931351	6.642374501097947e-05	0.041999731212854385	0.0017036320641636848
Q03167	ENSG00000069702	ENST00000212355	ENSP00000212355	TGFBR3	-	1	TGBR3_HUMAN	851	-4.1771979331970215	1.679686427116394	0.04455430433154106	0.0005699896719306707	0.29212772846221924	0.015109631232917309
P06733	ENSG00000074800	ENST00000234590	ENSP00000234590	ENO1	-	1	ENOA_HUMAN	434	-5.414318561553955	1.5833039283752441	0.014636768959462643	0.00019989126303698868	0.09020785987377167	0.00443263491615653
O00311	ENSG00000097046	ENST00000234626	ENSP00000234626	CDC7	+	1	CDC7_HUMAN	574	-5.610268592834473	1.8887500762939453	0.01678582839667797	9.031190711539239e-05	0.1291622817516327	0.0036467385943979025
P49591	ENSG00000031698	ENST00000234677	ENSP00000234677	SARS1	+	1	SYSC_HUMAN	514	-4.465573310852051	1.9018219709396362	0.04177618771791458	0.0002764856326393783	0.3234262764453888	0.01136739831417799
O00512	ENSG00000116128	ENST00000234739	ENSP00000234739	BCL9	+	1	BCL9_HUMAN	1426	-2.9496371746063232	2.5569727420806885	0.16467547416687012	0.000348608911735937	0.887148380279541	0.049753665924072266
O95841	ENSG00000116194	ENST00000234816	ENSP00000234816	ANGPTL1	-	1	ANGL1_HUMAN	491	-5.340923309326172	1.8088890314102173	0.019445102661848068	0.00013825396308675408	0.14239174127578735	0.004768596030771732
Q96MN5	ENSG00000116205	ENST00000234827	ENSP00000234827	TCEANC2	+	1	TEAN2_HUMAN	208	-5.787941932678223	1.9107236862182617	0.015006603673100471	7.242465653689578e-05	0.11476242542266846	0.0030549210496246815
Q9BXS4	ENSG00000116209	ENST00000234831	ENSP00000234831	TMEM59	-	1	TMM59_HUMAN	323	-6.165153503417969	1.6490542888641357	0.0074529084376990795	8.294584404211491e-05	0.05054299533367157	0.002096989192068577
P35268	ENSG00000116251	ENST00000234875	ENSP00000346088	RPL22	-	1	RL22_HUMAN	128	-5.071010589599609	2.349104642868042	0.04576290771365166	6.28202105872333e-05	0.3853622078895569	0.0062369308434426785
P41143	ENSG00000116329	ENST00000234961	ENSP00000234961	OPRD1	+	1	OPRD_HUMAN	372	-3.4138681888580322	3.0786380767822266	0.16370664536952972	7.88497636676766e-05	0.9321473240852356	0.03186485171318054
Q9BQA1	ENSG00000116455	ENST00000235090	ENSP00000235090	WDR77	-	1	MEP50_HUMAN	342	-2.87326979637146	1.196883201599121	0.08875303715467453	0.005382969044148922	0.3711184859275818	0.053490862250328064
Q9H246	ENSG00000116667	ENST00000235307	ENSP00000235307	C1orf21	+	1	CA021_HUMAN	121	-2.5948007106781006	2.754425525665283	0.22169138491153717	0.000337578501785174	0.9428794384002686	0.06947378814220428
O95140	ENSG00000116688	ENST00000235329	ENSP00000235329	MFN2	+	1	MFN2_HUMAN	757	-4.586670875549316	1.7706388235092163	0.03409251570701599	0.0003167571558151394	0.24670158326625824	0.010083992034196854
Q5JXC2	ENSG00000116691	ENST00000235332	ENSP00000235332	MIIP	+	1	MIIP_HUMAN	388	-5.678173065185547	1.64325749874115	0.011882590129971504	0.00013652064080815762	0.07889566570520401	0.003408145159482956
Q9NTN3	ENSG00000116704	ENST00000235345	ENSP00000235345	SLC35D1	-	1	S35D1_HUMAN	355	-5.1935224533081055	1.636354923248291	0.01790303736925125	0.00022465527581516653	0.12064617872238159	0.005521755199879408
O60809	ENSG00000187545	ENST00000235347	ENSP00000235347	PRAMEF10	-	1	PRA10_HUMAN	474	-5.601097106933594	1.5211023092269897	0.010427823290228844	0.00018733921751845628	0.06787551194429398	0.003680214751511812
O60810	ENSG00000243073	ENST00000235349	ENSP00000235349	PRAMEF4	-	1	PRAM4_HUMAN	478	-6.458520889282227	2.2391605377197266	0.013517133891582489	1.9458741007838398e-05	0.11206233501434326	0.0015646598767489195
P41220	ENSG00000116741	ENST00000235382	ENSP00000235382	RGS2	+	1	RGS2_HUMAN	211	-4.689693927764893	2.5185768604278564	0.0645146295428276	6.598528852919117e-05	0.5613461136817932	0.009105820208787918
Q9UGM6	ENSG00000116874	ENST00000235521	ENSP00000235521	WARS2	-	1	SYWM_HUMAN	360	-5.207247257232666	1.9524496793746948	0.027053946629166603	0.00011927285231649876	0.20092622935771942	0.005446897819638252
Q9BXI3	ENSG00000116981	ENST00000235628	ENSP00000235628	NT5C1A	-	1	5NT1A_HUMAN	368	-6.304711818695068	1.6296205520629883	0.006713365204632282	7.494293095078319e-05	0.04266748204827309	0.0018243385711684823
O43488	ENSG00000053371	ENST00000235835	ENSP00000235835	AKR7A2	-	1	ARK72_HUMAN	359	-5.722646713256836	1.6214371919631958	0.010836274363100529	0.0001362878392683342	0.0727841779589653	0.0032603770960122347
Q99848	ENSG00000117395	ENST00000236051	ENSP00000236051	EBNA1BP2	-	1	EBP2_HUMAN	306	-5.492372035980225	2.0935001373291016	0.02596595138311386	6.802574353059754e-05	0.19953767955303192	0.004101175349205732
O60779	ENSG00000117479	ENST00000236137	ENSP00000236137	SLC19A2	-	1	S19A2_HUMAN	497	-6.118295669555664	1.7532020807266235	0.00935305841267109	7.087596895871684e-05	0.0640389621257782	0.0021973669063299894
P14151	ENSG00000188404	ENST00000236147	ENSP00000236147	SELL	-	1	LYAM1_HUMAN	372	-5.502054214477539	1.4885424375534058	0.012024213559925556	0.00022046671074349433	0.07013846933841705	0.004061819054186344
O75379	ENSG00000117533	ENST00000236192	ENSP00000236192	VAMP4	-	1	VAMP4_HUMAN	141	-3.3683412075042725	2.6330947875976562	0.14210450649261475	0.00019759137649089098	0.8572250604629517	0.03329966589808464
O95926	ENSG00000117614	ENST00000236273	ENSP00000236273	SYF2	-	1	SYF2_HUMAN	243	-3.4892826080322266	1.7411341667175293	0.08190423995256424	0.0010049192933365703	0.4808288812637329	0.02961871586740017
Q86SQ9	ENSG00000117682	ENST00000236342	ENSP00000236342	DHDDS	+	1	DHDDS_HUMAN	333	-2.6685450077056885	1.9051214456558228	0.15511372685432434	0.0016546430997550488	0.7437258958816528	0.06485515832901001
Q7L513	ENSG00000132185	ENST00000236938	ENSP00000236938	FCRLA	+	1	FCRLA_HUMAN	359	-6.071901798248291	1.294965386390686	0.005328982602804899	0.00018224302039016038	0.028365230187773705	0.0023014729376882315
P54821	ENSG00000116132	ENST00000239461	ENSP00000239461	PRRX1	+	1	PRRX1_HUMAN	245	-2.8134195804595947	2.8585634231567383	0.19507266581058502	0.00022122687369119376	0.942092776298523	0.05660329759120941
Q9UQP3	ENSG00000120332	ENST00000239462	ENSP00000239462	TNN	+	1	TENN_HUMAN	1299	-6.041920185089111	1.14255690574646	0.00450904481112957	0.0002531462232582271	0.02182677574455738	0.0023713535629212856
Q13148	ENSG00000120948	ENST00000240185	ENSP00000240185	TARDBP	+	1	TADBP_HUMAN	414	-1.748885154724121	1.4650498628616333	0.2226242870092392	0.00975347962230444	0.7544633150100708	0.14818786084651947
O60811	ENSG00000120952	ENST00000240189	ENSP00000240189	PRAMEF2	+	1	PRAM2_HUMAN	474	-6.47871208190918	1.9435988664627075	0.009526573121547699	3.4034717828035355e-05	0.0648077055811882	0.0015334323979914188
P28161	ENSG00000213366	ENST00000241337	ENSP00000241337	GSTM2	+	1	GSTM2_HUMAN	218	-2.9376938343048096	3.3346474170684814	0.22686618566513062	7.685738819418475e-05	0.9733536243438721	0.050321370363235474
P0DMS8	ENSG00000282608	ENST00000241356	ENSP00000241356	ADORA3	-	1	AA3R_HUMAN	318	-4.41896390914917	2.9163854122161865	0.09521901607513428	3.966611984651536e-05	0.7853376269340515	0.011903311125934124
P15173	ENSG00000122180	ENST00000241651	ENSP00000241651	MYOG	-	1	MYOG_HUMAN	224	-2.8954505920410156	3.0284087657928467	0.2011772096157074	0.00014610742800869048	0.9543541669845581	0.05237891525030136
P53621	ENSG00000122218	ENST00000241704	ENSP00000241704	COPA	-	1	COPA_HUMAN	1224	-2.6580443382263184	2.714146137237549	0.2081991285085678	0.00034291925840079784	0.9347214102745056	0.06549492478370667
Q9Y3C5	ENSG00000123091	ENST00000242719	ENSP00000242719	RNF11	+	1	RNF11_HUMAN	154	-4.662135601043701	2.550969123840332	0.06334704905748367	6.365662557072937e-05	0.583625078201294	0.009357870556414127
O00519	ENSG00000117480	ENST00000243167	ENSP00000243167	FAAH	+	1	FAAH1_HUMAN	579	-5.395722389221191	1.26407790184021	0.009415905922651291	0.0003806425374932587	0.051262397319078445	0.004515460692346096
Q9BUV0	ENSG00000117616	ENST00000243189	ENSP00000243189	RSRP1	-	1	RSRP1_HUMAN	290	-5.930334091186523	1.2817426919937134	0.0057517304085195065	0.00021546361676882952	0.03173258528113365	0.002650549868121743
Q9NR55	ENSG00000123685	ENST00000243440	ENSP00000243440	BATF3	-	1	BATF3_HUMAN	127	-4.937694549560547	2.30429744720459	0.045144565403461456	7.836656004656106e-05	0.3961928188800812	0.0071200537495315075
Q9BUK6	ENSG00000125459	ENST00000245564	ENSP00000245564	MSTO1	+	1	MSTO1_HUMAN	570	-6.551539897918701	1.2097417116165161	0.002936773467808962	0.00013332463277038187	0.015060726553201675	0.0014258789597079158
Q9GZP4	ENSG00000057757	ENST00000246151	ENSP00000246151	PITHD1	+	1	PITH1_HUMAN	211	-2.639455556869507	3.537588596343994	0.2571641206741333	6.95774142513983e-05	0.9865347743034363	0.06664188951253891
P06132	ENSG00000126088	ENST00000246337	ENSP00000246337	UROD	+	1	DCUP_HUMAN	367	-5.520693302154541	2.148392915725708	0.025691796094179153	5.9381622122600675e-05	0.21250027418136597	0.003987110685557127
Q96ID5	ENSG00000117154	ENST00000251296	ENSP00000251296	IGSF21	+	1	IGS21_HUMAN	467	-5.273381233215332	1.7554614543914795	0.02032107301056385	0.00016423931811004877	0.13791222870349884	0.005100103560835123
Q9H4M3	ENSG00000132879	ENST00000251547	ENSP00000251547	FBXO44	+	1	FBX44_HUMAN	255	-5.985454082489014	1.1687939167022705	0.004801842384040356	0.0002544255112297833	0.024253077805042267	0.0025087615940719843
P58004	ENSG00000130766	ENST00000253063	ENSP00000253063	SESN2	+	1	SESN2_HUMAN	480	-5.162299156188965	1.2519923448562622	0.011460850946605206	0.0004921875079162419	0.0624772310256958	0.005695884581655264
P49326	ENSG00000131781	ENST00000254090	ENSP00000254090	FMO5	-	1	FMO5_HUMAN	533	-6.337274074554443	1.5774924755096436	0.005815490614622831	8.03448710939847e-05	0.03749090060591698	0.0017659938894212246
O43741	ENSG00000131791	ENST00000254101	ENSP00000254101	PRKAB2	-	1	AAKB2_HUMAN	272	-6.277163505554199	1.3352131843566895	0.004556718748062849	0.0001371726975776255	0.02508223056793213	0.0018751990282908082
Q15466	ENSG00000131910	ENST00000254227	ENSP00000254227	NR0B2	-	1	NR0B2_HUMAN	257	-6.407339096069336	1.4875456094741821	0.005070911720395088	8.934873039834201e-05	0.029546363279223442	0.0016466915840283036
P56937	ENSG00000132196	ENST00000254521	ENSP00000254521	HSD17B7	+	1	DHB7_HUMAN	341	-5.819026470184326	1.9283262491226196	0.014735250733792782	6.782740820199251e-05	0.11510993540287018	0.002961697755381465
P02741	ENSG00000132693	ENST00000255030	ENSP00000255030	CRP	-	1	CRP_HUMAN	224	-6.34164571762085	1.657137393951416	0.006595536135137081	6.843383016530424e-05	0.04336722195148468	0.0017583040753379464
Q9GZV7	ENSG00000132702	ENST00000255039	ENSP00000255039	HAPLN2	+	1	HPLN2_HUMAN	340	-6.036952495574951	1.8478338718414307	0.010920622386038303	6.386725726770237e-05	0.08201611042022705	0.0023831347934901714
P02743	ENSG00000132703	ENST00000255040	ENSP00000255040	APCS	+	1	SAMP_HUMAN	223	-4.9123125076293945	2.839233160018921	0.07218080759048462	2.8173344617243856e-05	0.6575697660446167	0.007301750592887402
Q9BQC3	ENSG00000132768	ENST00000255108	ENSP00000255108	DPH2	+	1	DPH2_HUMAN	489	-5.932116508483887	1.6876808404922485	0.009670039638876915	9.707689605420455e-05	0.06758937984704971	0.002645842032507062
P36222	ENSG00000133048	ENST00000255409	ENSP00000255409	CHI3L1	-	1	CH3L1_HUMAN	383	-6.904261589050293	1.3443055152893066	0.00236255070194602	7.197986997198313e-05	0.013796188868582249	0.001002493780106306
Q13203	ENSG00000133055	ENST00000255416	ENSP00000255416	MYBPH	-	1	MYBPH_HUMAN	477	-5.334997653961182	1.974160075187683	0.021519651636481285	0.00010059776104753837	0.18759486079216003	0.004796801134943962
Q9BYZ8	ENSG00000134193	ENST00000256585	ENSP00000256585	REG4	-	1	REG4_HUMAN	158	-3.0049846172332764	3.0331897735595703	0.19997908174991608	0.0001297298731515184	0.9497867822647095	0.04720119386911392
P01222	ENSG00000134200	ENST00000256592	ENSP00000256592	TSHB	+	1	TSHB_HUMAN	138	-6.080129623413086	1.9175806045532227	0.011663896031677723	5.335347304935567e-05	0.08933837711811066	0.0022826576605439186
P46439	ENSG00000134201	ENST00000256593	ENSP00000256593	GSTM5	+	1	GSTM5_HUMAN	218	-6.091092109680176	1.7164474725723267	0.008590436540544033	7.827008084859699e-05	0.06140364333987236	0.0022578267380595207
Q99523	ENSG00000134243	ENST00000256637	ENSP00000256637	SORT1	-	1	SORT_HUMAN	831	-3.028583288192749	1.7575217485427856	0.11184393614530563	0.0015417990507557988	0.6025487780570984	0.04615115001797676
Q04721	ENSG00000134250	ENST00000256646	ENSP00000256646	NOTCH2	-	1	NOTC2_HUMAN	2471	-2.374572277069092	0.8094934821128845	0.10660894960165024	0.01868540793657303	0.3125995695590973	0.08513235300779343
Q9H8W5	ENSG00000134253	ENST00000256649	ENSP00000256649	TRIM45	-	1	TRI45_HUMAN	580	-6.555645942687988	2.188843011856079	0.0112228412181139	1.9487861209199764e-05	0.0940130203962326	0.0014200445730239153
Q9BXR6	ENSG00000134389	ENST00000256785	ENSP00000256785	CFHR5	+	1	FHR5_HUMAN	569	-5.906036853790283	1.6238616704940796	0.009813498705625534	0.00011291672853985801	0.06161089241504669	0.0027155624702572823
Q8NAV1	ENSG00000134748	ENST00000257181	ENSP00000257181	PRPF38A	+	1	PR38A_HUMAN	312	-2.5691990852355957	2.1069140434265137	0.16988839209079742	0.0012310276506468654	0.8263930678367615	0.07114721834659576
A6NKB5	ENSG00000135749	ENST00000258229	ENSP00000258229	PCNX2	-	1	PCX2_HUMAN	2137	-3.771951198577881	0.40161192417144775	0.024183088913559914	0.01036300603300333	0.0481170229613781	0.022489704191684723
Q14146	ENSG00000135763	ENST00000258243	ENSP00000258243	URB2	+	1	URB2_HUMAN	1524	-6.06886100769043	1.8922946453094482	0.011244108900427818	5.6699413107708097e-05	0.0862717404961586	0.002308465773239732
O43752	ENSG00000135823	ENST00000258301	ENSP00000258301	STX6	-	1	STX6_HUMAN	255	-6.001542091369629	1.6665141582489014	0.008858886547386646	9.440245776204392e-05	0.06092602387070656	0.0024688225239515305
P11047	ENSG00000135862	ENST00000258341	ENSP00000258341	LAMC1	+	1	LAMC1_HUMAN	1609	-2.9462287425994873	2.628744602203369	0.17396698892116547	0.0003039106959477067	0.9007885456085205	0.04991505295038223
Q9Y597	ENSG00000136636	ENST00000259154	ENSP00000259154	KCTD3	+	1	KCTD3_HUMAN	815	-4.227939128875732	1.8630824089050293	0.04900001734495163	0.00037827403866685927	0.3597695827484131	0.014372821897268295
O75815	ENSG00000137936	ENST00000260502	ENSP00000260502	BCAR3	-	1	BCAR3_HUMAN	825	-5.229891777038574	1.9213812351226807	0.02383171021938324	0.0001239226112375036	0.18784818053245544	0.00532559072598815
Q6ZT98	ENSG00000137941	ENST00000260505	ENSP00000260505	TTLL7	-	1	TTLL7_HUMAN	887	-5.421112537384033	1.9089242219924927	0.019926853477954865	0.00010488568659638986	0.15713663399219513	0.004402754362672567
Q6YP21	ENSG00000137944	ENST00000260508	ENSP00000260508	KYAT3	-	1	KAT3_HUMAN	454	-6.563206672668457	1.2048810720443726	0.0028699575923383236	0.00013303964806254953	0.014749553985893726	0.0014093635836616158
Q52LW3	ENSG00000137962	ENST00000260526	ENSP00000260526	ARHGAP29	-	1	RHG29_HUMAN	1261	-3.0035016536712646	2.3216161727905273	0.14994673430919647	0.000523847877047956	0.8244485855102539	0.04726793244481087
Q8WUM0	ENSG00000069248	ENST00000261396	ENSP00000261396	NUP133	-	1	NU133_HUMAN	1156	-4.736505508422852	1.5714269876480103	0.026263229548931122	0.0004028894763905555	0.16022369265556335	0.008693004958331585
Q5VWQ0	ENSG00000081019	ENST00000261441	ENSP00000261441	RSBN1	-	1	RSBN1_HUMAN	802	-3.5455782413482666	2.2665510177612305	0.11087974905967712	0.00033941888250410557	0.7102875113487244	0.02804284356534481
O14958	ENSG00000118729	ENST00000261448	ENSP00000261448	CASQ2	-	1	CASQ2_HUMAN	399	-4.889261722564697	1.5944534540176392	0.0219352338463068	0.00033057949622161686	0.14626635611057281	0.007470745127648115
Q9H813	ENSG00000065600	ENST00000261455	ENSP00000261455	PACC1	-	1	PACC1_HUMAN	350	-6.550261974334717	1.3856539726257324	0.0035407813265919685	9.456833504373208e-05	0.021156392991542816	0.001427699695341289
Q5VTY9	ENSG00000054392	ENST00000261458	ENSP00000261458	HHAT	+	1	HHAT_HUMAN	493	-5.908174514770508	1.8139283657073975	0.011920949444174767	7.763547182548791e-05	0.08683240413665771	0.0027097794227302074
Q15172	ENSG00000066027	ENST00000261461	ENSP00000261461	PPP2R5A	+	1	2A5A_HUMAN	486	-3.819326400756836	1.818252682685852	0.06879699230194092	0.0006213244632817805	0.4364416301250458	0.021471437066793442
O00463	ENSG00000082512	ENST00000261464	ENSP00000261464	TRAF5	+	1	TRAF5_HUMAN	557	-4.828965663909912	2.3895480632781982	0.04952466860413551	7.392437692033127e-05	0.46367982029914856	0.007931376807391644
Q16518	ENSG00000116745	ENST00000262340	ENSP00000262340	RPE65	-	1	RPE65_HUMAN	533	-5.364750385284424	1.8070621490478516	0.019325336441397667	0.0001354833075311035	0.13907751441001892	0.004656840115785599
Q5T9L3	ENSG00000116729	ENST00000262348	ENSP00000262348	WLS	-	1	WLS_HUMAN	541	-5.150768756866455	1.493722677230835	0.016283048316836357	0.0003100672911386937	0.09769292920827866	0.0057615600526332855
Q8TDI0	ENSG00000116254	ENST00000262450	ENSP00000262450	CHD5	-	1	CHD5_HUMAN	1954	-3.660695791244507	2.315084218978882	0.10434453189373016	0.00027507892809808254	0.7061558961868286	0.02506995014846325
Q92569	ENSG00000117461	ENST00000262741	ENSP00000262741	PIK3R3	-	1	P55G_HUMAN	461	-5.472552299499512	1.668522834777832	0.014371410943567753	0.0001595813810126856	0.0995434895157814	0.004182926844805479
P52907	ENSG00000116489	ENST00000263168	ENSP00000263168	CAPZA1	+	1	CAZA1_HUMAN	286	-3.6481075286865234	1.7644563913345337	0.0733831599354744	0.0008191874949261546	0.4526830017566681	0.025379471480846405
Q9NP74	ENSG00000099260	ENST00000263174	ENSP00000263174	PALMD	+	1	PALMD_HUMAN	551	-3.8933353424072266	1.6939233541488647	0.058088649064302444	0.0007361327880062163	0.3604743182659149	0.019970325753092766
Q32ZL2	ENSG00000117598	ENST00000263177	ENSP00000263177	PLPPR5	-	1	PLPR5_HUMAN	321	-2.474024534225464	3.6988961696624756	0.2751942276954651	5.9842943301191553e-05	0.9916381239891052	0.07769934087991714
O15457	ENSG00000057468	ENST00000263187	ENSP00000263187	MSH4	+	1	MSH4_HUMAN	936	-6.072972297668457	1.7967252731323242	0.010338648222386837	6.809837213950232e-05	0.07232879847288132	0.002299016108736396
Q9HBG7	ENSG00000122224	ENST00000263285	ENSP00000263285	LY9	+	1	LY9_HUMAN	655	-6.404915809631348	1.4785627126693726	0.004983526188880205	9.115618740906939e-05	0.029114115983247757	0.001650680205784738
Q9Y672	ENSG00000088035	ENST00000263440	ENSP00000263440	ALG6	+	1	ALG6_HUMAN	507	-5.319933891296387	1.5477882623672485	0.013817266561090946	0.00023550514015369117	0.09226193279027939	0.004869251511991024
P16109	ENSG00000174175	ENST00000263686	ENSP00000263686	SELP	-	1	LYAM3_HUMAN	830	-5.92759370803833	2.0893630981445312	0.016836315393447876	4.438033283804543e-05	0.1379387378692627	0.002657804172486067
Q9UBS9	ENSG00000094975	ENST00000263688	ENSP00000263688	SUCO	+	1	SUCO_HUMAN	1254	-4.8459954261779785	2.2447509765625	0.04501708224415779	9.652360313339159e-05	0.3902255892753601	0.007798495702445507
Q96DI7	ENSG00000060688	ENST00000263694	ENSP00000263694	SNRNP40	-	1	SNR40_HUMAN	357	-6.178157806396484	1.6379371881484985	0.007457679137587547	8.36776162032038e-05	0.048899177461862564	0.002069951733574271
O75937	ENSG00000126698	ENST00000263697	ENSP00000263697	DNAJC8	-	1	DNJC8_HUMAN	253	-6.454861164093018	1.7312569618225098	0.006137392483651638	5.2846691687591374e-05	0.044716767966747284	0.0015703876269981265
Q9BV79	ENSG00000116353	ENST00000263702	ENSP00000263702	MECR	-	1	MECR_HUMAN	373	-5.227420330047607	2.0441582202911377	0.027398541569709778	9.766239963937551e-05	0.22777047753334045	0.005338698625564575
Q969G2	ENSG00000121454	ENST00000263726	ENSP00000263726	LHX4	+	1	LHX4_HUMAN	390	-2.936838388442993	2.1860272884368896	0.14520588517189026	0.0007302649901248515	0.7937528491020203	0.05036226660013199
O75063	ENSG00000116199	ENST00000263733	ENSP00000263733	FAM20B	+	1	XYLK_HUMAN	409	-4.9734601974487305	1.9663143157958984	0.033160969614982605	0.00014664270565845072	0.2460939735174179	0.006871619261801243
P28908	ENSG00000120949	ENST00000263932	ENSP00000263932	TNFRSF8	+	1	TNR8_HUMAN	595	-4.13784122467041	2.5670316219329834	0.08863380551338196	0.00010419623868074268	0.7096014022827148	0.015706626698374748
P19634	ENSG00000090020	ENST00000263980	ENSP00000263980	SLC9A1	-	1	SL9A1_HUMAN	815	-3.092607259750366	1.3119945526123047	0.08034045249223709	0.0034563869703561068	0.3725845515727997	0.043413229286670685
P81274	ENSG00000121957	ENST00000264126	ENSP00000264126	GPSM2	+	1	GPSM2_HUMAN	684	-6.67345666885376	1.1127976179122925	0.0022717511747032404	0.00014271763211581856	0.011069691739976406	0.0012624261435121298
Q13753	ENSG00000058085	ENST00000264144	ENSP00000264144	LAMC2	+	1	LAMC2_HUMAN	1193	-5.8879876136779785	1.8358668088912964	0.012631709687411785	7.588463631691411e-05	0.09197508543729782	0.002764884615316987
Q4LE39	ENSG00000054267	ENST00000264183	ENSP00000264183	ARID4B	-	1	ARI4B_HUMAN	1312	-1.38776695728302	2.151409864425659	0.30378958582878113	0.003667933400720358	0.9442186951637268	0.19976449012756348
P14543	ENSG00000116962	ENST00000264187	ENSP00000264187	NID1	-	1	NID1_HUMAN	1247	-5.599935531616211	1.5313602685928345	0.011408168822526932	0.00018382434791419655	0.0692334696650505	0.0036844767164438963
Q969V5	ENSG00000090432	ENST00000264198	ENSP00000264198	MUL1	-	1	MUL1_HUMAN	352	-3.8132002353668213	3.0840446949005127	0.14645440876483917	5.233380579738878e-05	0.903035581111908	0.021600529551506042
Q15291	ENSG00000117222	ENST00000264515	ENSP00000264515	RBBP5	-	1	RBBP5_HUMAN	538	-2.8411707878112793	2.399430513381958	0.1741834133863449	0.0005290133412927389	0.8654864430427551	0.055139508098363876
Q9P2S5	ENSG00000116213	ENST00000270708	ENSP00000270708	WRAP73	-	1	WRP73_HUMAN	460	-4.766095161437988	1.6399048566818237	0.027527611702680588	0.0003420370048843324	0.17480622231960297	0.008441690355539322
Q9HAZ2	ENSG00000142611	ENST00000270722	ENSP00000270722	PRDM16	+	1	PRD16_HUMAN	1276	-1.7674760818481445	3.223544120788574	0.3180343210697174	0.00030787568539381027	0.9895490407943726	0.14585648477077484
Q8IW93	ENSG00000142632	ENST00000270747	ENSP00000270747	ARHGEF19	-	1	ARHGJ_HUMAN	802	-6.000397682189941	1.9653536081314087	0.013866523280739784	5.2616938774008304e-05	0.10448318719863892	0.0024716423358768225
P52209	ENSG00000142657	ENST00000270776	ENSP00000270776	PGD	+	1	6PGD_HUMAN	483	-2.3339033126831055	3.7376177310943604	0.28901225328445435	6.381246203090996e-05	0.9932517409324646	0.08835375308990479
Q9H299	ENSG00000142669	ENST00000270792	ENSP00000270792	SH3BGRL3	+	1	SH3L3_HUMAN	93	-5.764132976531982	1.6207647323608398	0.010790284723043442	0.00013092264998704195	0.06994776427745819	0.003128298092633486
Q8N6P7	ENSG00000142677	ENST00000270800	ENSP00000270800	IL22RA1	-	1	I22R1_HUMAN	574	-5.326090335845947	1.5495105981826782	0.014391598291695118	0.00023327127564698458	0.09202931076288223	0.004839511122554541
Q8TAB5	ENSG00000142686	ENST00000270815	ENSP00000425166	C1orf216	-	1	CA216_HUMAN	229						
O75636	ENSG00000142748	ENST00000270879	ENSP00000270879	FCN3	-	1	FCN3_HUMAN	299	-5.497821807861328	1.9989402294158936	0.020478419959545135	8.143106242641807e-05	0.17079967260360718	0.004078976809978485
Q13352	ENSG00000142856	ENST00000271002	ENSP00000271002	ITGB3BP	-	1	CENPR_HUMAN	177	-6.447324752807617	1.1229095458984375	0.0030446667224168777	0.00017541392298880965	0.014112770557403564	0.001582248485647142
