GeneID	TranscriptID	ProteinID	Symbol	Strand	Chrom
ENSG00000189280	ENST00000338513	ENSP00000340811	GJB5	+	1
ENSG00000134698	ENST00000373210	ENSP00000362306	AGO4	+	1
ENSG00000134690	ENST00000373055	ENSP00000362146	CDCA8	+	1
ENSG00000132881	ENST00000375599	ENSP00000364749	CPLANE2	-	1
ENSG00000273274	ENST00000609129	ENSP00000476499	ZBTB8B	+	1
ENSG00000116251	ENST00000234875	ENSP00000346088	RPL22	-	1
ENSG00000158286	ENST00000377939	ENSP00000367173	RNF207	+	1
ENSG00000009709	ENST00000420770	ENSP00000403389	PAX7	+	1
ENSG00000043514	ENST00000316891	ENSP00000321810	TRIT1	-	1
ENSG00000162510	ENST00000373765	ENSP00000362870	MATN1	-	1
ENSG00000188984	ENST00000359318	ENSP00000352268	AADACL3	+	1
ENSG00000158008	ENST00000374280	ENSP00000363398	EXTL1	+	1
ENSG00000130940	ENST00000377022	ENSP00000366221	CASZ1	-	1
ENSG00000116771	ENST00000375826	ENSP00000364986	AGMAT	-	1
ENSG00000162585	ENST00000378546	ENSP00000367808	FAAP20	-	1
ENSG00000163879	ENST00000652629	ENSP00000498620	DNALI1	+	1
ENSG00000127129	ENST00000372587	ENSP00000361668	EDN2	-	1
ENSG00000169991	ENST00000455833	ENSP00000387941	IFFO2	-	1
ENSG00000116954	ENST00000373001	ENSP00000362092	RRAGC	-	1
ENSG00000117013	ENST00000347132	ENSP00000262916	KCNQ4	+	1
ENSG00000163873	ENST00000373091	ENSP00000362183	GRIK3	-	1
ENSG00000117215	ENST00000375105	ENSP00000364246	PLA2G2D	-	1
ENSG00000196449	ENST00000373044	ENSP00000362135	YRDC	-	1
ENSG00000237700	ENST00000437300	ENSP00000492439	PRAMEF33	+	1
ENSG00000253368	ENST00000522111	ENSP00000429216	TRNP1	+	1
ENSG00000179862	ENST00000372638	ENSP00000361721	CITED4	-	1
ENSG00000116661	ENST00000354287	ENSP00000346240	FBXO2	-	1
ENSG00000162461	ENST00000294454	ENSP00000294454	SLC25A34	+	1
ENSG00000044012	ENST00000372581	ENSP00000361662	GUCA2B	+	1
ENSG00000179051	ENST00000375436	ENSP00000364585	RCC2	-	1
ENSG00000053372	ENST00000330263	ENSP00000364320	MRTO4	+	1
ENSG00000126067	ENST00000373237	ENSP00000362334	PSMB2	-	1
ENSG00000132906	ENST00000333868	ENSP00000330237	CASP9	-	1
ENSG00000197312	ENST00000480945	ENSP00000417748	DDI2	+	1
ENSG00000173660	ENST00000311672	ENSP00000309565	UQCRH	+	1
ENSG00000092847	ENST00000373204	ENSP00000362300	AGO1	+	1
ENSG00000054118	ENST00000354618	ENSP00000346634	THRAP3	+	1
ENSG00000177181	ENST00000431473	ENSP00000414330	RIMKLA	+	1
ENSG00000276747	ENST00000619609	ENSP00000483125	PADI6	+	1
ENSG00000159339	ENST00000375448	ENSP00000364597	PADI4	+	1
ENSG00000162373	ENST00000371833	ENSP00000360899	BEND5	-	1
ENSG00000197982	ENST00000373042	ENSP00000362133	C1orf122	+	1
ENSG00000183317	ENST00000373048	ENSP00000362139	EPHA10	-	1
ENSG00000183386	ENST00000373016	ENSP00000362107	FHL3	-	1
ENSG00000158315	ENST00000372990	ENSP00000362081	RHBDL2	-	1
ENSG00000204084	ENST00000373024	ENSP00000362115	INPP5B	-	1
ENSG00000186973	ENST00000335282	ENSP00000334415	FAM183A	+	1
ENSG00000142698	ENST00000488417	ENSP00000435634	C1orf94	+	1
ENSG00000146463	ENST00000314607	ENSP00000322915	ZMYM4	+	1
ENSG00000183520	ENST00000373014	ENSP00000362105	UTP11	+	1
ENSG00000090686	ENST00000308271	ENSP00000309262	USP48	-	1
ENSG00000085998	ENST00000371984	ENSP00000361052	POMGNT1	-	1
ENSG00000142686	ENST00000270815	ENSP00000425166	C1orf216	-	1
ENSG00000117148	ENST00000375406	ENSP00000364555	ACTL8	+	1
ENSG00000127125	ENST00000372561	ENSP00000361642	PPCS	+	1
ENSG00000197429	ENST00000396478	ENSP00000379739	IPP	-	1
ENSG00000117000	ENST00000372771	ENSP00000361857	RLF	+	1
ENSG00000178585	ENST00000377263	ENSP00000366474	CTNNBIP1	-	1
ENSG00000092853	ENST00000318121	ENSP00000312995	CLSPN	-	1
ENSG00000198754	ENST00000327582	ENSP00000361914	OXCT2	-	1
ENSG00000134697	ENST00000373062	ENSP00000362153	GNL2	-	1
ENSG00000187513	ENST00000342280	ENSP00000343676	GJA4	+	1
ENSG00000116151	ENST00000378531	ENSP00000367792	MORN1	-	1
ENSG00000006555	ENST00000371276	ENSP00000360323	TTC22	-	1
ENSG00000066056	ENST00000372476	ENSP00000361554	TIE1	+	1
ENSG00000214114	ENST00000397572	ENSP00000380702	MYCBP	-	1
ENSG00000173436	ENST00000322753	ENSP00000325562	MICOS10	+	1
ENSG00000116544	ENST00000373347	ENSP00000362444	DLGAP3	-	1
ENSG00000186094	ENST00000371839	ENSP00000360905	AGBL4	-	1
ENSG00000117016	ENST00000372684	ENSP00000361769	RIMS3	-	1
ENSG00000121310	ENST00000371522	ENSP00000360577	ECHDC2	-	1
ENSG00000169213	ENST00000371655	ENSP00000360718	RAB3B	-	1
ENSG00000163866	ENST00000521580	ENSP00000428585	SMIM12	-	1
ENSG00000049249	ENST00000377507	ENSP00000366729	TNFRSF9	-	1
ENSG00000171793	ENST00000650070	ENSP00000497602	CTPS1	+	1
ENSG00000116990	ENST00000372816	ENSP00000361903	MYCL	-	1
ENSG00000143001	ENST00000371268	ENSP00000360315	TMEM61	+	1
ENSG00000117419	ENST00000372257	ENSP00000361331	ERI3	-	1
ENSG00000162384	ENST00000294360	ENSP00000294360	CZIB	-	1
ENSG00000162391	ENST00000302250	ENSP00000306888	FAM151A	-	1
ENSG00000174348	ENST00000312553	ENSP00000308315	PODN	+	1
ENSG00000117859	ENST00000428468	ENSP00000407168	OSBPL9	+	1
ENSG00000253313	ENST00000523677	ENSP00000430918	C1orf210	-	1
ENSG00000040487	ENST00000375153	ENSP00000364295	SLC66A1	+	1
ENSG00000162396	ENST00000371279	ENSP00000360327	PARS2	-	1
ENSG00000203995	ENST00000371528	ENSP00000360583	ZYG11A	+	1
ENSG00000117713	ENST00000324856	ENSP00000320485	ARID1A	+	1
ENSG00000177868	ENST00000372521	ENSP00000361599	SVBP	-	1
ENSG00000162378	ENST00000294353	ENSP00000294353	ZYG11B	+	1
ENSG00000162599	ENST00000403491	ENSP00000384523	NFIA	+	1
ENSG00000240563	ENST00000498273	ENSP00000419901	L1TD1	+	1
ENSG00000117862	ENST00000371626	ENSP00000360688	TXNDC12	-	1
ENSG00000162551	ENST00000374840	ENSP00000363973	ALPL	+	1
ENSG00000183431	ENST00000373019	ENSP00000362110	SF3A3	-	1
ENSG00000169174	ENST00000302118	ENSP00000303208	PCSK9	+	1
ENSG00000243725	ENST00000371281	ENSP00000360329	TTC4	+	1
ENSG00000116985	ENST00000372827	ENSP00000361915	BMP8B	-	1
ENSG00000134716	ENST00000371204	ENSP00000360247	CYP2J2	-	1
ENSG00000171872	ENST00000372299	ENSP00000361373	KLF17	+	1
ENSG00000162407	ENST00000371250	ENSP00000360296	PLPP3	-	1
ENSG00000169218	ENST00000356545	ENSP00000348944	RSPO1	-	1
ENSG00000163877	ENST00000296215	ENSP00000296215	SNIP1	-	1
ENSG00000157184	ENST00000371486	ENSP00000360541	CPT2	+	1
ENSG00000198815	ENST00000361346	ENSP00000354620	FOXJ3	-	1
ENSG00000134744	ENST00000257177	ENSP00000257177	TUT4	-	1
ENSG00000283039	ENST00000634670	ENSP00000489024	KLF18	-	1
ENSG00000184292	ENST00000371225	ENSP00000360269	TACSTD2	-	1
ENSG00000187140	ENST00000371116	ENSP00000360157	FOXD3	+	1
ENSG00000162595	ENST00000370981	ENSP00000360020	DIRAS3	-	1
ENSG00000171357	ENST00000371980	ENSP00000361048	LURAP1	+	1
ENSG00000162385	ENST00000371470	ENSP00000360525	MAGOH	-	1
ENSG00000086015	ENST00000361297	ENSP00000354671	MAST2	+	1
ENSG00000184588	ENST00000341517	ENSP00000342637	PDE4B	+	1
ENSG00000117472	ENST00000372003	ENSP00000361072	TSPAN1	+	1
ENSG00000123080	ENST00000371761	ENSP00000360826	CDKN2C	+	1
ENSG00000077549	ENST00000264202	ENSP00000264202	CAPZB	-	1
ENSG00000162598	ENST00000371201	ENSP00000360244	C1orf87	-	1
ENSG00000162415	ENST00000359600	ENSP00000352614	ZSWIM5	-	1
ENSG00000185483	ENST00000371079	ENSP00000360120	ROR1	+	1
ENSG00000162600	ENST00000371226	ENSP00000360270	OMA1	-	1
ENSG00000116704	ENST00000235345	ENSP00000235345	SLC35D1	-	1
ENSG00000157193	ENST00000306052	ENSP00000303634	LRP8	-	1
ENSG00000116205	ENST00000234827	ENSP00000234827	TCEANC2	+	1
ENSG00000198841	ENST00000371614	ENSP00000360676	KTI12	-	1
ENSG00000116212	ENST00000371370	ENSP00000360421	LRRC42	+	1
ENSG00000116729	ENST00000262348	ENSP00000262348	WLS	-	1
ENSG00000132854	ENST00000371153	ENSP00000360195	KANK4	-	1
ENSG00000162616	ENST00000370763	ENSP00000359799	DNAJB4	+	1
ENSG00000162607	ENST00000339950	ENSP00000343526	USP1	+	1
ENSG00000154027	ENST00000354567	ENSP00000346577	AK5	+	1
ENSG00000132122	ENST00000371847	ENSP00000360913	SPATA6	-	1
ENSG00000137960	ENST00000370759	ENSP00000359795	GIPC2	+	1
ENSG00000116745	ENST00000262340	ENSP00000262340	RPE65	-	1
ENSG00000132855	ENST00000371129	ENSP00000360170	ANGPTL3	+	1
ENSG00000172380	ENST00000370982	ENSP00000360021	GNG12	-	1
ENSG00000116675	ENST00000371069	ENSP00000360108	DNAJC6	+	1
ENSG00000162433	ENST00000327299	ENSP00000322175	AK4	+	1
ENSG00000213625	ENST00000371065	ENSP00000360104	LEPROT	+	1
ENSG00000085999	ENST00000371975	ENSP00000361043	RAD54L	+	1
ENSG00000158966	ENST00000651257	ENSP00000498498	CACHD1	+	1
ENSG00000203965	ENST00000371088	ENSP00000360129	EFCAB7	+	1
ENSG00000153898	ENST00000370608	ENSP00000359640	MCOLN2	-	1
ENSG00000117069	ENST00000477717	ENSP00000417583	ST6GALNAC5	+	1
ENSG00000187048	ENST00000310638	ENSP00000311095	CYP4A11	-	1
ENSG00000125703	ENST00000317868	ENSP00000322159	ATG4C	+	1
ENSG00000154007	ENST00000284142	ENSP00000284142	ASB17	-	1
ENSG00000162618	ENST00000370742	ENSP00000359778	ADGRL4	-	1
ENSG00000131233	ENST00000357771	ENSP00000350415	GJA9	-	1
ENSG00000153936	ENST00000370550	ENSP00000359581	HS2ST1	+	1
ENSG00000174021	ENST00000370645	ENSP00000359679	GNG5	-	1
ENSG00000084072	ENST00000324379	ENSP00000312769	PPIE	+	1
ENSG00000016490	ENST00000394711	ENSP00000378200	CLCA1	+	1
ENSG00000188786	ENST00000373036	ENSP00000362127	MTF1	-	1
ENSG00000117151	ENST00000370630	ENSP00000359664	CTBS	-	1
ENSG00000162434	ENST00000342505	ENSP00000343204	JAK1	-	1
ENSG00000137941	ENST00000260505	ENSP00000260505	TTLL7	-	1
ENSG00000116717	ENST00000370986	ENSP00000360025	GADD45A	+	1
ENSG00000066135	ENST00000372396	ENSP00000361473	KDM4A	+	1
ENSG00000117174	ENST00000370574	ENSP00000359606	ZNHIT6	-	1
ENSG00000184313	ENST00000421030	ENSP00000396622	MROH7	+	1
ENSG00000122420	ENST00000370757	ENSP00000359793	PTGFR	+	1
ENSG00000143013	ENST00000370544	ENSP00000359575	LMO4	+	1
ENSG00000134748	ENST00000257181	ENSP00000257181	PRPF38A	+	1
ENSG00000097096	ENST00000341460	ENSP00000340594	SYDE2	-	1
ENSG00000142892	ENST00000370812	ENSP00000359848	PIGK	-	1
ENSG00000184005	ENST00000328299	ENSP00000329214	ST6GALNAC3	+	1
ENSG00000197273	ENST00000357001	ENSP00000349493	GUCA2A	-	1
ENSG00000058804	ENST00000371429	ENSP00000360483	NDC1	-	1
ENSG00000162402	ENST00000294383	ENSP00000294383	USP24	-	1
ENSG00000116641	ENST00000635253	ENSP00000489124	DOCK7	-	1
ENSG00000172260	ENST00000357731	ENSP00000350364	NEGR1	-	1
ENSG00000185104	ENST00000396153	ENSP00000379457	FAF1	-	1
ENSG00000117480	ENST00000243167	ENSP00000243167	FAAH	+	1
ENSG00000137944	ENST00000260508	ENSP00000260508	KYAT3	-	1
ENSG00000182183	ENST00000517870	ENSP00000429726	SHISAL2A	+	1
ENSG00000067334	ENST00000436063	ENSP00000411010	DNTTIP2	-	1
ENSG00000142949	ENST00000359947	ENSP00000353030	PTPRF	+	1
ENSG00000116133	ENST00000371269	ENSP00000360316	DHCR24	-	1
ENSG00000171502	ENST00000370571	ENSP00000359603	COL24A1	-	1
ENSG00000162399	ENST00000651561	ENSP00000498282	BSND	+	1
ENSG00000116157	ENST00000361314	ENSP00000354677	GPX7	+	1
ENSG00000143036	ENST00000271227	ENSP00000271227	SLC44A3	+	1
ENSG00000065243	ENST00000370521	ENSP00000359552	PKN2	+	1
ENSG00000117500	ENST00000370282	ENSP00000359305	TMED5	-	1
ENSG00000016602	ENST00000370563	ENSP00000359594	CLCA4	+	1
ENSG00000117528	ENST00000370214	ENSP00000359233	ABCD3	+	1
ENSG00000066185	ENST00000372565	ENSP00000361646	ZMYND12	-	1
ENSG00000172339	ENST00000370205	ENSP00000359224	ALG14	-	1
ENSG00000036549	ENST00000370801	ENSP00000359837	ZZZ3	-	1
ENSG00000058799	ENST00000072644	ENSP00000072644	YIPF1	-	1
ENSG00000203985	ENST00000371360	ENSP00000360411	LDLRAD1	-	1
ENSG00000189433	ENST00000339480	ENSP00000345868	GJB4	+	1
ENSG00000179178	ENST00000439858	ENSP00000429775	TMEM125	+	1
ENSG00000142700	ENST00000404795	ENSP00000383909	DMRTA2	-	1
ENSG00000127124	ENST00000372583	ENSP00000361664	HIVEP3	-	1
ENSG00000097033	ENST00000370558	ENSP00000473267	SH3GLB1	+	1
ENSG00000162604	ENST00000606498	ENSP00000475700	TM2D1	-	1
ENSG00000116171	ENST00000371514	ENSP00000360569	SCP2	+	1
ENSG00000134709	ENST00000371208	ENSP00000360252	HOOK1	+	1
ENSG00000137936	ENST00000260502	ENSP00000260502	BCAR3	-	1
ENSG00000143032	ENST00000370445	ENSP00000359474	BARHL2	-	1
ENSG00000178028	ENST00000372289	ENSP00000361363	DMAP1	+	1
ENSG00000168710	ENST00000369799	ENSP00000358814	AHCYL1	+	1
ENSG00000117519	ENST00000370206	ENSP00000359225	CNN3	-	1
ENSG00000134215	ENST00000370056	ENSP00000359073	VAV3	-	1
ENSG00000188641	ENST00000370192	ENSP00000359211	DPYD	-	1
ENSG00000152078	ENST00000370203	ENSP00000359222	TLCD4	+	1
ENSG00000185668	ENST00000373012	ENSP00000362103	POU3F1	-	1
ENSG00000171492	ENST00000337338	ENSP00000338887	LRRC8D	+	1
ENSG00000170989	ENST00000305352	ENSP00000305416	S1PR1	+	1
ENSG00000055732	ENST00000370589	ENSP00000359621	MCOLN3	-	1
ENSG00000116299	ENST00000369939	ENSP00000358955	ELAPOR1	+	1
ENSG00000137962	ENST00000260526	ENSP00000260526	ARHGAP29	-	1
ENSG00000198691	ENST00000370225	ENSP00000359245	ABCA4	-	1
ENSG00000079739	ENST00000371084	ENSP00000360125	PGM1	+	1
ENSG00000117154	ENST00000251296	ENSP00000251296	IGSF21	+	1
ENSG00000162377	ENST00000371538	ENSP00000360593	COA7	-	1
ENSG00000116670	ENST00000376692	ENSP00000365882	MAD2L2	-	1
ENSG00000116774	ENST00000320334	ENSP00000322273	OLFML3	+	1
ENSG00000269113	ENST00000606738	ENSP00000476820	TRABD2B	-	1
ENSG00000023909	ENST00000370238	ENSP00000359258	GCLM	-	1
ENSG00000117133	ENST00000370654	ENSP00000359688	RPF1	+	1
ENSG00000069702	ENST00000212355	ENSP00000212355	TGFBR3	-	1
ENSG00000117461	ENST00000262741	ENSP00000262741	PIK3R3	-	1
ENSG00000198198	ENST00000634258	ENSP00000489255	SZT2	+	1
ENSG00000116793	ENST00000369604	ENSP00000358617	PHTF1	-	1
ENSG00000134201	ENST00000256593	ENSP00000256593	GSTM5	+	1
ENSG00000116455	ENST00000235090	ENSP00000235090	WDR77	-	1
ENSG00000213366	ENST00000241337	ENSP00000241337	GSTM2	+	1
ENSG00000117525	ENST00000334047	ENSP00000334145	F3	-	1
ENSG00000099260	ENST00000263174	ENSP00000263174	PALMD	+	1
ENSG00000282608	ENST00000241356	ENSP00000241356	ADORA3	-	1
ENSG00000134258	ENST00000369458	ENSP00000358470	VTCN1	-	1
ENSG00000162692	ENST00000294728	ENSP00000294728	VCAM1	+	1
