AN,AC,AF,AC_sim,AF_sim
471974,31,6.568158415505939e-05,28,5.9325301817473e-05
365888,0,0.0,32,8.745845723281441e-05
368194,3,8.147878564017883e-06,0,0.0
471938,22,4.661629281812441e-05,30,6.356767202471511e-05
471962,1,2.1188146503320182e-06,9,1.9069331852988163e-05
469232,41,8.737681999522625e-05,6,1.2786851706618475e-05
471692,0,0.0,614,0.001301696869991435
471674,11,2.3321192179344208e-05,7,1.4840758659582678e-05
471976,3,6.356255402817092e-06,2,4.237503601878062e-06
467192,0,0.0,13,2.782581893525574e-05
471928,80,0.00016951738400773,13,2.7546574901256124e-05
461022,0,0.0,7,1.5183657179050023e-05
471992,7,1.4830759843387177e-05,2,4.237359955253479e-06
461028,0,0.0,1,2.1690656532791934e-06
471688,8,1.6960363630196233e-05,17,3.604077271416699e-05
471942,8,1.6951235533179926e-05,1,2.1189044416474907e-06
470544,3,6.375599306334795e-06,7,1.4876398381447855e-05
471220,10,2.122151012266033e-05,13,2.7587963159458428e-05
471936,17,3.602183346894494e-05,17,3.602183346894494e-05
471224,9,1.9099196984873435e-05,3,6.366398994957812e-06
470104,83,0.00017655667682044823,7,1.4890322141483586e-05
470562,9,1.912606627819501e-05,14,2.9751658654970016e-05
471086,25,5.3068866406558464e-05,82,0.00017406588181351174
472012,4,8.47436082133505e-06,1,2.1185902053337626e-06
471920,70,0.0001483302254619427,2,4.238006441769792e-06
471928,21,4.449831330202912e-05,25,5.297418250241562e-05
471892,21,4.4501708017936305e-05,20,4.238257906470125e-05
471358,6,1.2729178246682989e-05,1,2.121529707780498e-06
471968,13,2.7544240287477116e-05,2,4.2375754288426336e-06
429510,3,6.984703499336453e-06,15,3.492351749668226e-05
471460,14,2.9694990030967632e-05,68,0.00014423280872184277
471988,5,1.0593489664991483e-05,7,1.4830885530988076e-05
471934,0,0.0,6,1.2713642161827713e-05
443748,1,2.253531283521278e-06,10,2.253531283521278e-05
471732,30,6.359543130421511e-05,199,0.0004218496943179602
471912,5,1.0595195714455238e-05,27,5.7214056858058285e-05
471236,888,0.0018844061149827262,5,1.0610394791569406e-05
471544,4,8.482771491101573e-06,2,4.241385745550787e-06
471334,1,2.1216377346000924e-06,28,5.940585656880259e-05
471288,7,1.485291371730237e-05,6,1.273106890054489e-05
471758,10,2.1197308789676063e-05,0,0.0
471510,15,3.1812686899535535e-05,75,0.00015906343449767767
471524,11,2.332861105691333e-05,7,1.4845479763490299e-05
471444,5,1.0605713509982098e-05,30,6.363428105989258e-05
471930,14,2.9665416481257815e-05,30943,0.06556692729854004
471904,7,1.4833525462805995e-05,27,5.721502678510883e-05
471448,1,2.121124705163666e-06,10,2.121124705163666e-05
471924,24,5.0855646248124696e-05,0,0.0
471898,21,4.450114219598303e-05,2,4.238204018665051e-06
455362,0,0.0,0,0.0
418722,9,2.1493974522475533e-05,6,1.4329316348317021e-05
471956,9,1.9069574282348353e-05,0,0.0
434126,4,9.213914854212832e-06,9,2.0731308421978873e-05
471962,7,1.4831702552324128e-05,8,1.6950517202656146e-05
471344,11,2.333751994297159e-05,72,0.00015275467599035948
470413,16,3.401266546630301e-05,0,0.0
471710,22,4.663882470161752e-05,6,1.2719679464077506e-05
470977,14,2.9725443068345163e-05,3,6.369737800359678e-06
471932,2,4.2378986803183505e-06,2,4.2378986803183505e-06
471682,39,8.268282444528304e-05,54,0.00011448391077039192
467010,3,6.423845313804844e-06,4,8.565127085073125e-06
470470,19,4.038514676812549e-05,57,0.00012115544030437647
461070,17,3.6870757151842455e-05,31,6.72349101004186e-05
471720,10,2.1199016365640635e-05,10,2.1199016365640635e-05
471868,0,0.0,4,8.476946942789084e-06
472006,0,0.0,18,3.8135108452011206e-05
468920,1,2.1325599249338907e-06,5,1.0662799624669453e-05
470844,6,1.2743074139205342e-05,0,0.0
470400,7,1.4880952380952381e-05,16,3.401360544217687e-05
457276,3,6.560589228387232e-06,1,2.1868630761290773e-06
471012,10,2.123088159112719e-05,52,0.00011040058427386139
460636,19,4.124731892426992e-05,7,1.5196380656309972e-05
435050,0,0.0,6,1.3791518216296977e-05
418240,6,1.4345830145371079e-05,1,2.3909716908951796e-06
471168,4,8.489540885628905e-06,38,8.06506384134746e-05
471898,3,6.357306027997576e-06,6,1.2714612055995152e-05
472010,9,1.906739263998644e-05,4,8.474396728882863e-06
471212,4,8.48874816430821e-06,8,1.697749632861642e-05
471366,0,0.0,0,0.0
471962,3,6.356443950996055e-06,4,8.475258601328073e-06
471994,54,0.00011440823400297461,53,0.00011228956300291953
471962,6,1.271288790199211e-05,3,6.356443950996055e-06
471832,7,1.4835789009647501e-05,49,0.00010385052306753251
471938,3,6.356767202471511e-06,1,2.118922400823837e-06
471938,6,1.2713534404943022e-05,22,4.661629281812441e-05
472006,16,3.389787417956551e-05,0,0.0
471914,1,2.1190301622753296e-06,2,4.238060324550659e-06
471940,213,0.0004513285587150909,18,3.8140441581556976e-05
471402,8,1.697065349743955e-05,76,0.00016122120822567576
471804,1,2.1195242092055175e-06,0,0.0
471936,4,8.475725522104692e-06,4,8.475725522104692e-06
471336,6,1.2729772391669637e-05,2,4.243257463889879e-06
471774,14,2.9675225849665307e-05,1,2.1196589892618077e-06
471736,1998,0.004235419811080774,18,3.815693523496193e-05
471894,0,0.0,32,6.781183909945877e-05
471978,3270,0.0069282890304209095,2,4.237485645517376e-06
470466,8,1.7004416897289072e-05,5,1.062776056080567e-05
471952,13,2.754517408550022e-05,33,6.992236498626979e-05
471910,1,2.1190481235828867e-06,85,0.00018011909050454536
471812,5,1.0597441353759548e-05,0,0.0
469364,17,3.621922431204779e-05,1,2.1305426065910464e-06
470492,20,4.250869302772417e-05,3,6.3763039541586255e-06
471816,1,2.1194703019821287e-06,22,4.662834664360683e-05
471052,1,2.1229078742898873e-06,75,0.00015921809057174155
471324,1,2.1216827490219042e-06,10,2.121682749021904e-05
471600,5,1.0602205258693808e-05,441,0.0009351145038167939
471944,37,7.839913210041869e-05,4,8.475581848693913e-06
471820,12,2.543342800220423e-05,76,0.00016107837734729346
471740,2,4.239623521431297e-06,0,0.0
471914,44,9.32373271401145e-05,1,2.1190301622753296e-06
468580,14,2.9877502240812668e-05,10,2.1341073029151907e-05
471754,3,6.35924655646799e-06,9,1.907773966940397e-05
471812,3,6.358464812255729e-06,9,1.9075394436767187e-05
471974,5,1.0593803895977321e-05,6,1.2712564675172785e-05
471914,3,6.357090486825989e-06,6,1.2714180973651979e-05
471670,1,2.120126359531028e-06,3,6.360379078593084e-06
471776,1,2.11965000339144e-06,5,1.05982500169572e-05
471720,19,4.0278131094717204e-05,4599,0.009749427626558128
466488,1,2.143677865239835e-06,1,2.143677865239835e-06
463982,31,6.681293670875163e-05,10,2.155256022862956e-05
468160,0,0.0,21,4.485645933014354e-05
468808,16,3.4129110424736776e-05,8,1.7064555212368388e-05
471994,4,8.474684000220342e-06,0,0.0
471400,34,7.212558336868901e-05,146,0.00030971574034789986
471026,4,8.492100223766841e-06,1,2.1230250559417102e-06
471586,1,2.120504001391051e-06,80,0.00016964032011128406
456608,13595,0.02977389796061392,9,1.9710561356787442e-05
471760,1,2.1197218924877055e-06,4,8.478887569950822e-06
457982,56,0.00012227554794729925,6,1.3100951565782062e-05
468778,2,4.266411819667305e-06,4,8.53282363933461e-06
469760,129,0.000274608310626703,15,3.193119891008174e-05
471710,4,8.479786309385004e-06,0,0.0
471858,7,1.4834971538047463e-05,6,1.2715689889754969e-05
468432,6,1.2808689414899067e-05,14,2.9886941968097824e-05
467278,3,6.420161017638323e-06,0,0.0
471942,16,3.390247106635985e-05,25,5.297261104118727e-05
471440,12,2.5453928389614797e-05,9,1.90904462922111e-05
471308,27,5.7287378953890026e-05,8,1.6974038208560008e-05
471506,39,8.271368763069824e-05,9,1.9087774068622668e-05
471314,0,0.0,1,2.121727765353883e-06
471000,0,0.0,4,8.492569002123141e-06
471732,18,3.8157258782529064e-05,0,0.0
471836,6,1.2716282776218856e-05,103,0.0002182961876584237
471852,47,9.960750404787941e-05,1,2.119308596763392e-06
469684,27,5.748545830813909e-05,14,2.9807274678294342e-05
469994,8,1.702149389141138e-05,67,0.0001425550113405703
471928,3,6.356901900289875e-06,6,1.271380380057975e-05
471922,6,1.2713965443441924e-05,0,0.0
471470,1,2.1210257280420813e-06,32,6.78728232973466e-05
471974,6,1.2712564675172785e-05,82,0.00017373838389402805
471740,4,8.479247042862593e-06,32,6.783397634290075e-05
471906,8,1.6952528681559464e-05,0,0.0
468250,24,5.125467164975974e-05,18,3.844100373731981e-05
471988,5,1.0593489664991483e-05,2,4.237395865996593e-06
471956,70,0.00014831891108493166,14,2.966378221698633e-05
469288,33,7.031929220436064e-05,0,0.0
467878,6,1.2823855791467006e-05,3,6.411927895733503e-06
469440,0,0.0,0,0.0
466218,1,2.1449193295840145e-06,11,2.359411262542416e-05
471746,27,5.723418958507332e-05,87,0.00018442127755190294
471586,35,7.421764004868678e-05,1,2.120504001391051e-06
471956,3,6.356524760782785e-06,15,3.178262380391392e-05
471694,56,0.00011872103524742736,29,6.148053611027488e-05
471346,0,0.0,6,1.2729502318891006e-05
471948,10,2.1188775034537702e-05,103,0.00021824438285573836
471556,5,1.0603194530448133e-05,3,6.36191671826888e-06
471804,6,1.2717145255233104e-05,22,4.662953260252139e-05
471750,2,4.239533651298357e-06,44,9.326974032856385e-05
471808,16,3.391209983722192e-05,0,0.0
470406,18,3.826481805079017e-05,1,2.1258232250438982e-06
471940,44,9.323219053269484e-05,2,4.23782684239522e-06
471932,6,1.2713696040955053e-05,363,0.0007691786104777807
471992,1,2.1186799776267394e-06,452,0.0009576433498872862
471930,1,2.118958320089844e-06,8,1.695166656071875e-05
471596,0,0.0,2,4.240918073944648e-06
471474,45,9.544534799373878e-05,14,2.9694108264718734e-05
471850,17,3.602839885556851e-05,2,4.238635159478648e-06
471920,1,2.119003220884896e-06,0,0.0
471928,0,0.0,1,2.1189673000966248e-06
472000,5,1.0593220338983052e-05,135,0.00028601694915254236
471720,39,8.267616382599847e-05,42,8.903586873569066e-05
471816,8,1.695576241585703e-05,3,6.358410905946386e-06
471164,40,8.48961295854522e-05,6,1.273441943781783e-05
471758,3,6.3591926369028185e-06,55,0.00011658519834321835
465322,62,0.00013324106747585542,51,0.00010960152324626818
471874,6945,0.014717911984979041,29,6.145708388256187e-05
471836,12,2.5432565552437713e-05,1,2.1193804627031424e-06
471864,2409,0.005105284573521184,0,0.0
471914,0,0.0,8,1.6952241298202637e-05
471934,9,1.907046324274157e-05,25,5.297350900761547e-05
471830,12,2.5432888964245596e-05,103,0.0002182989636097747
471730,32,6.783541432599157e-05,1,2.1198566976872365e-06
471636,0,0.0,2,4.2405583967296816e-06
471880,16,3.3906925489531234e-05,3,6.357548529287107e-06
471388,19,4.030649910477144e-05,0,0.0
463940,58,0.00012501616588351942,53,0.00011423891020390568
471478,19,4.0298805034381245e-05,1,2.1209897386516444e-06
470902,1,2.1235841003011242e-06,13,2.7606593303914614e-05
470404,7,1.4880825843317659e-05,34,7.22782969532572e-05
471542,3,6.362105602470193e-06,0,0.0
470632,1,2.124802393377416e-06,9,1.912322154039674e-05
459232,0,0.0,11,2.395303463173298e-05
470088,10,2.1272612787392998e-05,0,0.0
470880,5,1.0618416581719335e-05,26,5.521576622494054e-05
471480,7,1.484686519046407e-05,17,3.605667260541274e-05
469822,0,0.0,17,3.618391646197922e-05
470660,17,3.611949177750393e-05,1,2.124675986911996e-06
471258,13,2.758573859754105e-05,4,8.48791956847417e-06
471262,1,2.121961881076768e-06,4,8.487847524307073e-06
470750,56,0.00011895910780669145,2,4.2485395645246946e-06
471264,0,0.0,43,9.124397365383309e-05
470468,5,1.0627715381279917e-05,25,5.313857690639958e-05
469344,8,1.70450671575646e-05,66,0.00014062180404990796
470592,10,2.124983000135999e-05,8,1.699986400108799e-05
425059,4,9.410458312845982e-06,15,3.528921867317243e-05
464228,17,3.661993675521511e-05,4,8.616455707109438e-06
470888,6,1.2741883420261293e-05,6,1.2741883420261293e-05
470728,2,4.248738124776941e-06,8,1.6994952499107765e-05
470030,11,2.3402761525860052e-05,9,1.9147713975703678e-05
400990,23,5.7358038853836756e-05,2,4.987655552507544e-06
471018,977,0.0020742307088051836,5,1.06153055721862e-05
471196,0,0.0,7,1.485581371658503e-05
468414,5,1.067431801782184e-05,46,9.820372576396094e-05
471756,3,6.359219596571109e-06,0,0.0
459996,21,4.5652570891920796e-05,17,3.69568431029835e-05
464186,0,0.0,1,2.1543088330970776e-06
471650,0,0.0,8,1.696173009646984e-05
463980,0,0.0,6,1.29315918789603e-05
470872,2,4.247438794406972e-06,13,2.7608352163645322e-05
461272,7,1.5175427947068107e-05,19,4.1190447284899145e-05
471754,6,1.271849311293598e-05,0,0.0
395250,0,0.0,0,0.0
471664,1,2.1201533294887885e-06,4,8.480613317955154e-06
471518,3,6.362429430053572e-06,15,3.181214715026786e-05
471924,0,0.0,7,1.4832896822369703e-05
471740,3,6.359435282146945e-06,60,0.0001271887056429389
471906,7,1.483346259636453e-05,16,3.390505736311893e-05
471906,8,1.6952528681559464e-05,0,0.0
471314,1,2.121727765353883e-06,4,8.486911061415532e-06
471970,6,1.2712672415619637e-05,5,1.0593893679683031e-05
471910,31,6.569049183106949e-05,17,3.602381810090907e-05
471700,13,2.755988976044096e-05,25,5.2999788000847996e-05
471730,1,2.1198566976872365e-06,6,1.2719140186123418e-05
471552,5,1.060328447339848e-05,3,6.361970684039088e-06
471830,12,2.5432888964245596e-05,196,0.0004154038530826781
423182,8,1.890439574462052e-05,3,7.089148404232695e-06
465636,38,8.160881031535363e-05,27,5.7985207329330206e-05
436858,1,2.2890733373315816e-06,0,0.0
471726,1,2.1198746730093315e-06,105,0.00022258684066597982
419572,6,1.4300286959091646e-05,16,3.813409855757772e-05
471444,53,0.00011242056320581023,1,2.1211427019964196e-06
471860,56,0.00011867926927478489,64,0.00013563345059975417
470764,3,6.372619826494804e-06,2,4.248413217663203e-06
470594,4,8.499895876275516e-06,4,8.499895876275516e-06
471550,7,1.4844661223624218e-05,7,1.4844661223624218e-05
471930,9,1.9070624880808595e-05,2,4.237916640179688e-06
471922,15,3.178491360860481e-05,3,6.356982721720962e-06
471628,0,0.0,7,1.484220614552147e-05
472000,39,8.26271186440678e-05,1,2.11864406779661e-06
471526,16,3.3932381247269506e-05,18,3.8173928903178195e-05
471924,11,2.330883786372382e-05,32,6.780752833083294e-05
416908,0,0.0,25,5.99652681167068e-05
471910,3,6.35714437074866e-06,1,2.1190481235828867e-06
469804,2,4.257094447897421e-06,88,0.00018731215570748653
468616,1,2.133943356607542e-06,8,1.7071546852860337e-05
454908,45,9.89211005302171e-05,10,2.198246678449269e-05
469432,2,4.260467969801803e-06,13,2.769304180371172e-05
468312,0,0.0,0,0.0
471908,5,1.059528552175424e-05,3,6.357171313052544e-06
471786,7,1.4837235526276744e-05,3,6.358815225547176e-06
470886,0,0.0,15,3.185484384755546e-05
466088,1,2.145517584662124e-06,5,1.0727587923310619e-05
469218,0,0.0,29,6.18049605940096e-05
471570,42,8.906418983395891e-05,1,2.120575948427593e-06
471892,30,6.357386859705186e-05,4,8.47651581294025e-06
466158,55,0.00011798574732172354,5,1.0725977029247594e-05
471626,6,1.2721944930941042e-05,0,0.0
471838,19,4.0268058104688475e-05,45,9.537171656373586e-05
397706,0,0.0,4,1.005768079938447e-05
471952,3,6.356578635115435e-06,7,1.4832016815269349e-05
471588,18,3.81689101503855e-05,133597,0.2832917716311696
470602,15,3.1874067683520254e-05,0,0.0
471352,7,1.4850896994178448e-05,33,7.001137154398411e-05
471938,23,4.8735215218948254e-05,45,9.535150803707267e-05
471716,3,6.359758837944865e-06,9,1.9079276513834597e-05
471666,5,1.0600721697133141e-05,6,1.2720866036559769e-05
469218,5,1.0656027688622346e-05,33,7.032978274490749e-05
471596,4,8.481836147889295e-06,8,1.696367229577859e-05
471398,6,1.2728098125151146e-05,11,2.33348465627771e-05
471472,5,1.0605083652899855e-05,97806,0.20744816235110464
472004,10,2.1186261133380226e-05,66,0.0001398293234803095
471958,5,1.059416303993152e-05,38,8.051563910347954e-05
471114,3,6.367885479947528e-06,23,4.882045534626439e-05
464372,123,0.0002648738511365888,5,1.0767229720999544e-05
461912,24,5.1957948700185316e-05,10,2.1649145291743882e-05
471754,34,7.207146097330389e-05,6,1.271849311293598e-05
471976,17,3.6018780615963525e-05,15,3.1781277014085464e-05
471662,3,6.360486958881572e-06,27,5.724438262993415e-05
471624,1,2.1203331467440164e-06,8,1.696266517395213e-05
471786,15,3.179407612773588e-05,0,0.0
471926,1,2.1189762801795196e-06,0,0.0
471956,9,1.9069574282348353e-05,36,7.627829712939341e-05
471648,1102,0.002336488228509397,1164,0.0024679421941787094
471960,6,1.2712941774726671e-05,29,6.144588524451225e-05
471806,19,4.027078926507929e-05,52,0.00011021479167284859
471826,3,6.358276144171792e-06,0,0.0
471548,2,4.241349767149898e-06,113,0.00023963626184396922
467442,22,4.7064662567762417e-05,2,4.278605687978402e-06
471698,805,0.0017066004095840984,1,2.120000508800122e-06
471972,0,0.0,16,3.390031612044782e-05
471942,4,8.475617766589963e-06,0,0.0
471912,5,1.0595195714455238e-05,711,0.0015066368305955348
471966,0,0.0,760,0.0016102854866664124
471830,26,5.510459275586546e-05,4,8.477629654748532e-06
471780,1,2.1196320318792658e-06,0,0.0
471608,7,1.4842835575308307e-05,54,0.00011450187443809265
471938,4,8.475689603295348e-06,17,3.602168081400523e-05
471572,34,7.209927646255503e-05,5,1.0602834773905151e-05
471228,1,2.12211498467833e-06,3,6.36634495403499e-06
471510,24,5.0900299039256855e-05,56,0.00011876736442493266
471832,29,6.146255446853965e-05,6,1.2716390579697858e-05
471470,8,1.696820582433665e-05,2,4.2420514560841626e-06
464032,0,0.0,5760,0.01241293703882491
471732,6,1.2719086260843022e-05,2,4.239695420281007e-06
417918,3,7.178441703874923e-06,1,2.3928139012916408e-06
469962,1,2.1278316119175592e-06,28,5.957928513369166e-05
471652,4,8.480829085851432e-06,7,1.4841450900240008e-05
472000,11,2.3305084745762712e-05,12,2.5423728813559322e-05
471810,26,5.5106928636527414e-05,0,0.0
471896,23998,0.050854425551392676,15,3.1786664858358625e-05
471532,1,2.120746842207952e-06,1,2.120746842207952e-06
469422,2,4.260558729671809e-06,33,7.029921903958485e-05
423112,2,4.726880825880618e-06,0,0.0
469200,1,2.131287297527707e-06,18,3.836317135549872e-05
471998,5,1.059326522570011e-05,3,6.355959135420065e-06
471898,10,2.1191020093325252e-05,0,0.0
471950,0,0.0,0,0.0
471222,13,2.7587846068307508e-05,98,0.00020796991651493351
471796,12,2.543472178653486e-05,3,6.358680446633715e-06
471120,4,8.490405841399219e-06,6,1.2735608762098828e-05
464710,1,2.1518796668890274e-06,7,1.5063157668223193e-05
471302,141,0.0002991712320338127,1,2.121781787473849e-06
472000,3,6.3559322033898304e-06,81,0.00017161016949152543
419178,48,0.00011450982637447576,10,2.3856213828015783e-05
434280,7,1.6118633139909736e-05,5,1.1513309385649811e-05
471838,27,5.722302993824151e-05,13,2.755182922952369e-05
470492,26,5.526130093604142e-05,1,2.1254346513862085e-06
471988,1,2.1186979329982964e-06,8,1.694958346398637e-05
471980,66,0.00013983643374719268,55,0.0001165303614559939
465792,12,2.576257213520198e-05,2,4.293762022533663e-06
471842,4,8.477414049618305e-06,0,0.0
471696,3,6.360028492927648e-06,0,0.0
471864,1,2.1192547005069257e-06,6,1.2715528203041555e-05
465638,2,4.295182094244885e-06,0,0.0
467228,0,0.0,0,0.0
471940,3,6.3567402635928296e-06,8,1.695130736958088e-05
471932,33,6.99253282252528e-05,0,0.0
471764,78,0.0001653369057410061,4,8.478815679025953e-06
470228,1,2.1266279336832347e-06,2,4.253255867366469e-06
471982,7,1.4831074066383888e-05,34,7.203664546529317e-05
471486,2,4.241907500965034e-06,7,1.4846676253377618e-05
471908,3,6.357171313052544e-06,1,2.1190571043508482e-06
457370,11,2.405054988302687e-05,0,0.0
469400,5,1.0651896037494674e-05,62,0.00013208351086493395
470784,856,0.0018182436106579662,24,5.097879282218597e-05
462650,1,2.1614611477358694e-06,18,3.890630065924565e-05
468122,4,8.544781061347255e-06,0,0.0
470152,1,2.126971702768466e-06,5,1.0634858513842331e-05
471996,4,8.474648090238053e-06,13,2.754260629327367e-05
471844,77,0.0001631895287425505,1,2.1193445291240326e-06
472004,7,1.4830382793366158e-05,31,6.56774095134787e-05
472004,10,2.1186261133380226e-05,9,1.90676350200422e-05
461062,4,8.675622801271845e-06,9,1.9520151302861654e-05
426312,55,0.00012901349246561205,10,2.345699863011128e-05
460904,2,4.339298422231094e-06,8,1.7357193688924376e-05
463716,25,5.3912308395655965e-05,3,6.469477007478716e-06
470138,109246,0.23237007006453425,20,4.254070081550523e-05
471666,40,8.480577357706513e-05,13,2.7561876412546166e-05
471962,30,6.356443950996055e-05,3,6.356443950996055e-06
471786,12,2.5435260902188705e-05,0,0.0
471376,6,1.2728692169308578e-05,2,4.2428973897695254e-06
471004,1,2.1231242197518492e-06,5,1.0615621098759247e-05
435932,26,5.964232953763431e-05,4,9.175743005789894e-06
471832,22,4.662676545889215e-05,3,6.358195289848929e-06
469782,9,1.9157822138779262e-05,73,0.00015539122401454292
469686,8,1.7032655859446524e-05,68,0.00014477757480529544
472014,8,1.6948649828183062e-05,3,6.355743685568649e-06
467350,10,2.1397239756071467e-05,9,1.925751578046432e-05
471990,1,2.1186889552744764e-06,5,1.0593444776372381e-05
469934,3,6.383875182472433e-06,17,3.6175292700677117e-05
471826,2,4.238850762781195e-06,2,4.238850762781195e-06
468770,6,1.2799453889967362e-05,7,1.4932696204961922e-05
291556,1,3.4298728203158226e-06,1,3.4298728203158226e-06
470864,1,2.1237554792891367e-06,18,3.822759862720446e-05
471962,2,4.2376293006640364e-06,0,0.0
471592,31,6.573478769784051e-05,2,4.240954045021968e-06
471280,548,0.0011627906976744186,11,2.3340689186895263e-05
471298,0,0.0,6936,0.014716803381300153
468678,0,0.0,8,1.7069288509381708e-05
471090,570,0.001209959880277654,1331,0.0028253624572799254
439184,20,4.5538999599256806e-05,12,2.7323399759554082e-05
469566,0,0.0,6,1.2777756481516975e-05
466088,7,1.5018623092634867e-05,5,1.0727587923310619e-05
471454,6,1.2726586262922787e-05,10,2.1210977104871313e-05
449412,4,8.900518900251885e-06,12,2.6701556700755655e-05
470782,0,0.0,12,2.548950469644124e-05
470464,7,1.4878928037001768e-05,3,6.37668344442933e-06
470892,48,0.00010193420147294921,43,9.131605548618367e-05
471436,2,4.2423573931562295e-06,23,4.878711002129663e-05
451078,2,4.433822975183893e-06,0,0.0
471524,1,2.120782823355757e-06,15,3.181174235033636e-05
471468,3,6.363104176741582e-06,9,1.9089312530224746e-05
471344,9,1.9094334498794935e-05,84,0.0001782137886554194
436490,18,4.1238058145661985e-05,16,3.665605168503288e-05
462640,0,0.0,6,1.2969047207331835e-05
467136,1,2.140704206055624e-06,439,0.000939769146458419
469318,1,2.1307514307995858e-06,45,9.588381438598136e-05
468956,22,4.6912716758075385e-05,308,0.0006567780346130554
471384,6,1.27284761468357e-05,0,0.0
470868,34,7.220707289516383e-05,0,0.0
458142,1,2.1827293721160686e-06,0,0.0
471136,5,1.0612646879032807e-05,28,5.943082252258371e-05
471816,65,0.00013776556962883835,6,1.2716821811892771e-05
471982,8,1.694979893301016e-05,1,2.11872486662627e-06
471978,1,2.118742822758688e-06,8,1.6949942582069505e-05
471968,7,1.4831514000949217e-05,4,8.475150857685267e-06
471992,7,1.4830759843387177e-05,77,0.00016313835827725894
467966,0,0.0,9,1.9232166439442183e-05
471858,13,2.7550661427802434e-05,8,1.695425318633996e-05
471807,2,4.2390214642851845e-06,6,1.2717064392855553e-05
471812,13,2.7553347519774827e-05,24,5.086771849804583e-05
471376,3,6.364346084654289e-06,1,2.1214486948847627e-06
418522,21,5.0176573752395334e-05,1,2.389360654875968e-06
471948,13,2.7545407544899014e-05,6,1.2713265020722622e-05
471976,19,4.0256284217841586e-05,1,2.118751800939031e-06
68374,1,1.4625442419633194e-05,0,0.0
68350,0,0.0,6,8.778346744696415e-05
68358,0,0.0,0,0.0
121568,0,0.0,1,8.225848907607265e-06
104320,0,0.0,399,0.003824769938650307
471262,5,1.0609809405383842e-05,8,1.6975695048614145e-05
471916,2,4.238042363471465e-06,5,1.0595105908678663e-05
471886,4,8.476623591291118e-06,2,4.238311795645559e-06
471714,0,0.0,8,1.6959428806437798e-05
471146,7,1.4857390278172796e-05,7,1.4857390278172796e-05
472000,1,2.11864406779661e-06,2397,0.0050783898305084745
471490,2,4.241871513711849e-06,1,2.1209357568559247e-06
472006,2,4.237234272445689e-06,4,8.474468544891378e-06
470090,0,0.0,2,4.254504456593418e-06
470928,1,2.123466856929297e-06,6,1.2740801141575782e-05
